E2771,Engineering,1,38.00,9.69,10.00,2.25,0.00
E3654,Marketing,1,41.00,12.04,4.00,1.61,0.00
E2100,Support,1,40.00,12.32,14.00,1.65,0.00
E2084,Marketing,1,52.00,12.33,13.00,1.58,0.00
E3371,Finance,1,50.00,11.26,11.00,1.96,0.00
E0114,Engineering,1,52.00,14.97,9.00,1.38,0.00
E0278,HR,1,37.00,11.30,12.00,1.38,0.00
E3760,Operations,1,54.00,4.23,15.00,3.63,0.00
E4408,Finance,1,64.00,9.29,23.00,1.36,0.00
E4654,Operations,1,54.00,11.18,13.00,1.48,0.00
E1299,Support,1,58.00,10.10,11.00,2.25,0.00
E0270,Marketing,1,44.00,13.25,13.00,1.40,0.00
E4989,Sales,1,44.00,11.83,10.00,2.34,0.00
E1999,Sales,1,58.00,11.59,12.00,1.43,0.00
E1918,Finance,1,47.00,10.29,12.00,0.89,0.00
E0320,Support,1,47.00,12.13,11.00,1.68,0.00
E2572,Operations,1,44.00,9.40,15.00,1.35,0.00
E0602,HR,1,59.00,6.09,9.00,2.96,0.00
E3884,Marketing,1,54.00,11.17,8.00,0.90,0.00
E0078,Sales,1,56.00,7.98,13.00,3.23,0.00
E0016,HR,1,47.00,12.18,10.00,1.67,0.00
E4592,Finance,1,40.00,13.40,8.00,1.46,0.00
E3485,Engineering,1,56.00,11.82,10.00,1.17,0.00
E0648,Operations,1,42.00,13.13,15.00,1.91,0.00
E1691,Marketing,1,46.00,10.52,14.00,1.82,0.00
E0489,Marketing,1,59.00,10.47,10.00,2.09,0.00
E4569,Marketing,1,46.00,9.13,16.00,1.97,0.00
E1926,HR,1,54.00,13.20,12.00,1.48,0.00
E0621,HR,1,43.00,12.91,16.00,1.15,0.00
E1743,HR,1,46.00,8.85,15.00,2.34,0.00
E1102,Support,1,47.00,10.97,11.00,1.50,0.00
E4448,Support,1,57.00,10.77,15.00,2.12,0.00
E1166,Support,1,51.00,14.93,11.00,1.63,0.00
E0431,Finance,1,48.00,13.73,11.00,1.56,0.00
E2537,Support,1,52.00,9.95,8.00,1.19,0.00
E0131,HR,1,45.00,12.82,11.00,1.88,0.00
E3719,HR,1,53.00,4.37,6.00,5.59,0.00
E1660,Operations,1,39.00,9.07,13.00,2.68,0.00
E3817,Sales,1,48.00,10.77,14.00,2.12,0.00
E1809,Marketing,1,50.00,7.79,13.00,2.39,0.00
E0821,Support,1,50.00,7.89,9.00,1.80,0.00
E3667,Support,1,40.00,10.60,16.00,1.81,0.00
E2637,Sales,1,53.00,7.60,13.00,2.33,0.00
E3890,Support,1,65.00,10.33,14.00,1.59,0.00
E0266,Sales,1,52.00,12.80,15.00,1.67,0.00
E0932,Marketing,1,55.00,7.46,25.00,2.72,0.00
E0277,Support,1,42.00,8.95,14.00,1.91,0.00
E1761,Engineering,1,37.00,10.95,14.00,2.01,0.00
E3731,Operations,1,56.00,7.56,11.00,2.34,0.00
E4561,Finance,1,39.00,9.14,20.00,2.76,0.00
E1788,Operations,1,33.00,11.24,14.00,1.31,0.00
E1084,Support,1,56.00,6.86,16.00,1.91,0.00
E1481,Sales,1,45.00,6.75,9.00,2.97,0.00
E2285,Sales,1,42.00,6.23,11.00,2.49,0.00
E0696,HR,1,50.00,11.67,9.00,1.66,0.00
E1702,Marketing,1,53.00,13.23,23.00,0.98,0.00
E2652,Support,1,51.00,9.42,13.00,2.11,0.00
E4161,Finance,1,52.00,6.71,17.00,2.08,0.00
E3804,Support,1,61.00,7.90,17.00,2.70,0.00
E1796,HR,1,42.00,9.64,15.00,1.97,0.00
E4931,Sales,1,28.00,9.21,18.00,1.86,0.00
E3535,Finance,1,58.00,7.87,14.00,3.49,0.00
E1259,Marketing,1,60.00,5.64,9.00,3.77,0.00
E0718,Engineering,1,61.00,6.65,18.00,1.96,0.00
E3219,Finance,1,44.00,7.57,9.00,1.63,0.00
E0236,HR,1,46.00,9.10,11.00,1.98,0.00
